Page,Section,English,中文
About,cta-p,Start an application or schedule a call with our team to see if Crestway Global is the right fit for your family.,开始申请或预约通话，了解 Crestway Global 是否适合您的家庭。
About,cta-primary,Start an application,开始申请
About,cta-ghost,Schedule a call,预约通话
About,footer-description,Educational guardianship and support services for international students in Canada.,加拿大国际学生专业监护服务
Services,title,Services | Crestway Global,服务内容 | Crestway Global
Services,hero-eyebrow,Services,服务内容
Services,hero-title,Six pillars of student success.,学生成功的六大支柱。
Services,hero-lede,Structured oversight that enables student success and family confidence.,系统化支持，助力学生成功，让家长安心
Services,pillars-sr-title,Our Service Pillars,我们的服务支柱
Services,pillar-01-h3,Arrival & Settlement,抵达与安置
Services,pillar-01-outcome,Students arrive prepared and housed safely.,学生安全抵达，住房无忧
Services,pillar-01-li-1,Pre-arrival immigration and documentation review,出发前移民与文件审核
Services,pillar-01-li-2,Housing needs assessment and verified options,住房需求评估与验证房源
Services,pillar-01-li-3,In-person lease review and move-in coordination,实地租约审查与搬入协调
Services,pillar-01-li-4,Airport reception and escort to residence,机场接机与护送至住处
Services,pillar-01-li-5,City orientation and essential services setup,城市导览与基础服务办理
Services,pillar-02-h3,Health & Safety,健康与安全
Services,pillar-02-outcome,Physical and mental wellbeing maintained throughout the academic year.,全年维护身心健康
Services,pillar-02-li-1,Family physician registration and health insurance navigation,家庭医生注册与医疗保险指导
Services,pillar-02-li-2,Mental health resource coordination,心理健康资源协调
Services,pillar-02-li-3,24/7 emergency response line,24/7 紧急响应热线
Services,pillar-02-li-4,Hospital and medical appointment accompaniment,医院就医陪同
Services,pillar-02-li-5,Regular wellness check-ins,定期健康检查
Services,pillar-02-li-6,Access to private healthcare and wellness providers through Crestway Global's partner network,通过 Crestway Global 合作伙伴网络获取私人医疗与健康服务
Services,pillar-02-li-7,"Crestway Assist: 24/7 safety button in the app, connecting students directly to someone who knows their name and situation",Crestway Assist：应用内的24/7安全按钮，直接连接了解您姓名及情况的专人
Services,pillar-03-h3,Academic Monitoring & Support,学业监测与支持服务
Services,pillar-03-outcome,Academic monitoring and intervention when required.,学业监测及必要时的干预措施。
Services,pillar-03-li-1,Course enrollment and timetable guidance,选课与课程表指导
Services,pillar-03-li-2,Connection to academic support resources,学术支持资源对接
Services,pillar-03-li-3,Study skills and time management coaching,学习技巧与时间管理辅导
Services,pillar-03-li-4,Communication with academic advisors when appropriate,必要时与学业导师沟通
Services,pillar-03-li-5,Progress monitoring and intervention if needed,学业进展监测与及时干预
Services,pillar-04-h3,Cultural Adaptation,文化适应
Services,pillar-04-outcome,Students build community and confidence in their new environment.,学生建立社交圈，适应新环境
Services,pillar-04-li-1,Mandarin-speaking mentorship for daily life navigation,普通话导师协助日常生活
Services,pillar-04-li-2,"Budgeting, transit, and life skills guidance","预算管理、交通、生活技能指导"
Services,pillar-04-li-3,Social events and peer community building,社交活动与同伴社区建设
Services,pillar-04-li-4,Cultural norms and expectations orientation,文化规范与期望介绍
Services,pillar-04-li-5,Homesickness and adjustment support,思乡情绪与适应期支持
Services,pillar-05-h3,Family Communication,家庭沟通
Services,pillar-05-outcome,Parents remain informed and connected across distance.,家长远程了解孩子状况，保持联系
Services,pillar-05-li-1,Monthly digital updates on student wellbeing,每月提供数字版学生身心健康更新报告
Services,pillar-05-li-2,Direct advisor access for questions and concerns,专属顾问直接答疑
Services,pillar-05-li-3,Immediate notification of significant issues,重大事项即时通知
Services,pillar-05-li-4,Cultural translation of academic and administrative matters,学业与行政事务中文解释
Services,pillar-05-li-5,Scheduled monthly video conferences,每月定期视频会议
Services,pillar-06-h3,Safety & Protection,安全与保护
Services,pillar-06-outcome,Students have access to a trusted safety network whenever they need it.,学生随时可获得信任的安全支持网络。
Services,pillar-06-li-1,Partnership with Community Patrol for priority assistance,与Community Patrol合作，提供优先协助。
Services,pillar-06-li-2,Crestway Assist: 24/7 safety button in the app connecting students to someone who knows their situation,Crestway Assist：应用内24/7安全按钮，可即时联系了解学生情况的人。
Services,pillar-06-li-3,"Housing verification before move-in (fire safety, landlord checks, neighborhood walkthrough)",入住前的住房核实（包括消防安全检查、房东审核及社区实地考察）。
Services,pillar-06-li-4,First-week city orientation and emergency response planning,入学首周的城市导览及应急计划制定。
Services,pillar-06-li-5,Coordination with local emergency services when needed,必要时协调当地应急服务。
Services,approach-eyebrow,Our Approach,我们的方式
Services,approach-title,"Guidance that keeps students on track, not reactive support.",以引导为主，而非被动应对的指导方式。
Services,approach-p,"At Crestway Global, our focus is on helping students stay on track and thrive throughout their academic journey. Through regular check-ins, thoughtful planning, and consistent communication, we give students the structure they need to navigate life in a new country with confidence. Small challenges get addressed early, so students stay focused on their studies, personal growth, and success.","在Crestway Global，我们的目标是帮助学生在学术旅程中保持专注并取得成功。通过定期沟通、周密规划和持续互动，为学生提供结构化支持，助力其在新国家自信应对生活挑战。小问题早发现，确保学生专注学业、个人成长与成功。"
Services,approach-1-h3,Structured Check-ins,定期检查
Services,approach-1-p,"Scheduled touchpoints ensure consistent contact, not just crisis response.",固定沟通确保持续关注，而非仅在危机时响应
Services,approach-2-h3,Assigned Advisors,专属顾问
Services,approach-2-p,Each student works with a consistent advisor who knows their situation.,每位学生配备固定顾问，深入了解学生情况
Services,approach-3-h3,Documented Communication,记录存档
Services,approach-3-p,All interactions recorded for continuity and family transparency.,所有互动记录在案，确保服务连续性与家长透明
Services,approach-4-h3,,机构合作
Services,approach-4-p,,与大学、医疗机构、住房服务建立合作关系
Services,pricing-eyebrow,Pricing,费用
Services,pricing-title,Customized to student needs,根据学生需求定制
Services,pricing-p,"Programs are tailored based on age, campus, housing situation, and support requirements. Pricing is provided following a family consultation and needs assessment.",项目根据年龄、校区、住房情况与支持需求量身定制。费用在家庭咨询与需求评估后提供。
Services,pricing-how-h3,How pricing works,
Services,pricing-how-p,"Every family's situation is unique. During consultation, we assess your student's specific needs and recommend appropriate support levels. Transparent pricing is provided based on the services required.",每个家庭情况独特。咨询期间，我们评估学生具体需求，推荐适当支持级别。费用根据所需服务透明报价。
Services,pricing-li-1,Initial consultation at no cost,
Services,pricing-li-2,Customized program based on assessment,
Services,pricing-li-3,"Clear, upfront pricing before engagement",
Services,pricing-li-4,No hidden fees or surprise charges,
Services,pricing-cta-p,Ready to discuss your family's needs?,
Services,pricing-cta-btn,Schedule a consultation,预约咨询
Difference,title,The Crestway Global Difference | Crestway Global,我们的不同 | Crestway Global
Difference,hero-eyebrow,The Crestway Global Difference,我们的不同
Difference,hero-title,Guardianship with structured accountability.,专业监护，结构化问责。
Difference,hero-lede,Most guardianship services handle paperwork and little else. We provide ongoing documented support.,多数监护服务签完文件就消失了。我们每周都在。
Difference,comparison-eyebrow,Side by Side,对比
Difference,comparison-title,What typical guardianship looks like vs. what Crestway Global does.,普通监护 vs. Crestway Global。
Difference,comparison-typical-h3,Typical Guardianship,普通监护
Difference,comparison-typical-li-1,Signs custodianship paperwork,签署监护文件
Difference,comparison-typical-li-2,Available by email for emergencies,紧急时可通过邮件联系
Difference,comparison-typical-li-3,No regular contact with the student,与学生无日常联系
Difference,comparison-typical-li-4,No housing involvement,不参与住房事务
Difference,comparison-typical-li-5,No parent updates,不提供家长更新
Difference,comparison-typical-li-6,One-size-fits-all service,一刀切的服务
Difference,comparison-cw-h3,Crestway Global,Crestway Global
Difference,comparison-cw-li-1,24/7 emergency support,24/7紧急支持服务
Difference,comparison-cw-li-2,Weekly or monthly check-ins with a dedicated advisor,每周或每月由专属顾问沟通
Difference,comparison-cw-li-3,"Full housing search, inspection, and move-in assistance","全程找房、验房、入住协助"
Difference,comparison-cw-li-4,Regular parent updates with academic and wellness details,定期向家长发送学业与身心健康详情报告
Difference,comparison-cw-li-5,Personalized support based on each student's needs,根据每位学生需求定制支持
Difference,pillars-eyebrow,Three Pillars,三大支柱
Difference,pillars-title,What makes Crestway Global different isn't one thing. It's how everything connects.,Crestway Global 的不同不在于某一件事，而在于一切如何连接。
Difference,pillar-1-h3,"Real people, real context",真实的人，真实的情境
Difference,pillar-1-p,"We show up in person. We check housing before leases are signed. We know which walk-in clinic takes international insurance and which bus route gets you to campus fastest. This isn't remote support, it's local knowledge applied to your student's daily life.",我们亲自到场。签约前实地看房，知道哪家诊所接受国际保险，哪条公交线最快到校。这不是远程支持，而是本地知识应用于学生的日常生活。
Difference,pillar-2-h3,"Proactive, not reactive",主动，而非被动
Difference,pillar-2-p,"Regular touchpoints catch issues early. We don't wait for a crisis. If a student seems withdrawn, if grades are slipping, if housing problems are brewing, we call the family first. Prevention is always better than damage control.",定期跟进，及时发现苗头。不等危机发生——如果学生情绪低落、成绩下滑、住房出问题，我们先联系家庭。预防永远好过善后。
Difference,pillar-3-h3,Support without surveillance,支持，而非监视
Difference,pillar-3-p,"Students keep their independence. We're not watching their every move. But when life gets complicated, confusing paperwork, a medical issue, a housing emergency, they have someone to call who already understands the situation.",学生保持独立。我们不监控每一步。但当生活变得复杂——繁琐的手续、健康问题、住房紧急情况——他们有人可以打电话，而那个人已经了解情况。
Difference,keyfacts-eyebrow,Key Facts,关键事实
Difference,keyfacts-title,The numbers behind the care.,关怀背后的数字。
Difference,keyfacts-1-number,24/7,24/7
Difference,keyfacts-1-p,Emergency line answered by a real Crestway Global advisor.,紧急电话由 Crestway Global 顾问直接接听。
Difference,keyfacts-2-number,1,3
Difference,keyfacts-2-p,Local team in Toronto.,温哥华、多伦多、蒙特利尔本地团队。
Difference,keyfacts-3-number,Monthly,每月
Difference,keyfacts-3-p,"Parent updates with actual, specific details.",家长更新，信息具体明确。
Difference,keyfacts-4-number,Week 1,首周
Difference,keyfacts-4-p,"Arrival pickup, housing checks, and city orientation.",接机、看房、城市入门。
Difference,assurance-eyebrow,Parent Assurance,家长保障
Difference,assurance-title,"Built for families who want clarity, not just promises.",为追求清晰而非空洞承诺的家庭而建。
Difference,assurance-p,"From the moment you engage Crestway Global, we create a structured relationship that keeps you informed and involved.",从您选择 Crestway Global 起，我们就建立结构化的沟通关系，让您随时了解情况。
Difference,assurance-1-h3,Family onboarding call,家庭入门通话
Difference,assurance-1-p,"Before your student arrives, we walk through expectations, communication preferences, and emergency protocols together.",学生抵达前，我们一起梳理期望、沟通偏好和紧急预案。
Difference,assurance-2-h3,Dedicated case manager,专属案例经理
Difference,assurance-2-p,"One person who knows your student's story, their housing, their schedule, and their adjustment progress.",一位了解您孩子故事的人——住房、日程、适应进度。
Difference,assurance-3-h3,Weekly pre-arrival updates,出发前每周更新
Difference,assurance-3-p,"In the weeks before departure, we keep families informed on housing status, document readiness, and orientation plans.",出发前数周，持续告知住房状态、文件准备和入门计划。
Difference,assurance-4-h3,Parent dashboard,家长信息看板
Difference,assurance-4-p,"A clear view of your student's support timeline, upcoming check-ins, and key milestones.",清晰查看学生的支持时间线、即将到来的沟通和关键节点。
Difference,cta-title,See the difference for yourself.,亲身感受不同。
Difference,cta-p,Start an application or talk to our team about what Crestway Global support looks like in practice.,开始申请或与我们的团队聊聊 Crestway Global 的支持如何运作。
Difference,cta-primary,Start an application,开始申请
Difference,cta-ghost,Schedule a call,预约通话
Difference,footer-description,Educational guardianship and support services for international students in Canada.,加拿大国际学生成功支持。
Difference,footer-address,"110 Sheppard Ave E, Suite 110 / North York, ON M2N 6K1",温哥华 · 多伦多 · 蒙特利尔
Partnerships,title,Partnerships | Crestway Global,合作伙伴 | Crestway Global
Partnerships,hero-eyebrow,Partnerships,合作伙伴
Partnerships,hero-title,Building Global Partnerships to Empower International Students,建立全球合作，赋能国际学生
Partnerships,hero-lede,"Crestway Global collaborates with institutions, recruitment agents, and businesses worldwide to create seamless support, opportunities, and growth for students.","Crestway Global 与全球院校、招生代理和企业合作，为学生创造无缝支持、发展机会和成长空间。"
Partnerships,institutions-eyebrow,For Institutions & Universities,面向院校与大学
Partnerships,institutions-title,Bridge the gap between admission and successful settlement.,弥合录取与成功安顿之间的差距。
Partnerships,institutions-p,Crestway Global does not recruit students and does not interfere with academic decision-making. We exist to make your international students more successful after they arrive.,Crestway Global 不招生，也不干预学术决策。我们的存在是为了让您的国际学生在抵达后更加成功。
Partnerships,institutions-1-h3,Fewer non-academic escalations,减少非学术事务升级
Partnerships,institutions-1-p,"Housing crises, health emergencies, and homesickness rarely reach your international office. We handle them before they become your problem.",住房危机、健康紧急情况和思乡问题很少需要找到国际办公室。我们在问题变成您的麻烦之前就处理好了。
Partnerships,institutions-2-h3,"Protected students, reassured parents",学生受保护，家长更安心
Partnerships,institutions-2-p,Families feel confident their child has local support. That confidence translates to fewer worried calls to your admissions team.,家庭对孩子有本地支持感到放心。这种信心意味着更少的担忧电话打到您的招生团队。
Partnerships,institutions-3-h3,Reduced administrative workload,减轻行政负担
Partnerships,institutions-3-p,"Your admissions, international offices, and faculty can focus on academics while we handle settlement logistics and day-to-day student support.",您的招生、国际办公室和教职人员可以专注于学术事务，而我们处理安顿物流和日常学生支持。
Partnerships,agents-eyebrow,For Recruitment Agents,面向招生代理
Partnerships,agents-title,Your trusted partner in Canada for post-admission support.,您在加拿大的可信赖合作伙伴，提供录取后支持。
Partnerships,agents-p,"We complement, not replace, your core recruitment role. When families remember who helped their child succeed in Canada, your name comes up.",我们补充而非取代您的核心招生角色。当家庭回忆起谁帮助他们的孩子在加拿大取得成功时，您的名字会被提起。
Partnerships,agents-1-h3,Students who transition successfully,学生成功过渡
Partnerships,agents-1-p,Your placements don't just arrive—they thrive. Students who feel supported stay enrolled and recommend you to others.,您安置的学生不仅仅是抵达——他们蓬勃发展。感到被支持的学生会继续学业并向他人推荐您。
Partnerships,agents-2-h3,Stronger parent trust,增强家长信任
Partnerships,agents-2-p,"When you recommend Crestway Global alongside placement, parents see you as someone who cares about outcomes, not just commissions.",当您在安置的同时推荐 Crestway Global，家长会认为您关心的是结果，而不仅仅是佣金。
Partnerships,agents-3-h3,Fewer post-arrival complaints,减少抵达后投诉
Partnerships,agents-3-p,"No more 3am calls about housing disasters or health scares. Emergencies get handled locally, and you stay informed without being overwhelmed.",不再有凌晨三点关于住房灾难或健康恐慌的电话。紧急情况在本地处理，您保持知情但不会被压垮。
Partnerships,agents-4-h3,Higher retention and satisfaction,更高的留存率和满意度
Partnerships,agents-4-p,Supported students complete their programs. Satisfied families send siblings and cousins. Your referral network grows.,获得支持的学生完成学业。满意的家庭会推荐兄弟姐妹和亲戚。您的推荐网络不断扩大。
Partnerships,business-eyebrow,For Businesses & Organizations,面向企业与机构
Partnerships,business-title,"Access motivated, global student talent.",接触积极进取的全球学生人才。
Partnerships,business-p,"Crestway Global partners with local and global businesses to offer internships, volunteer programs, and experiential learning opportunities for international students.","Crestway Global 与本地和全球企业合作，为国际学生提供实习、志愿者项目和体验式学习机会。"
Partnerships,business-1-h3,Global talent pipeline,全球人才渠道
Partnerships,business-1-p,"Connect with motivated international students who bring diverse perspectives, multilingual skills, and fresh energy to your team.",与积极进取的国际学生建立联系，他们带来多元视角、多语言技能和新鲜活力。
Partnerships,business-2-h3,Positive brand engagement,积极的品牌互动
Partnerships,business-2-p,Associate your organization with international education and cross-cultural development. Students remember companies that gave them their first Canadian opportunity.,将您的组织与国际教育和跨文化发展联系起来。学生会记住给他们第一个加拿大机会的公司。
Partnerships,business-3-h3,Trusted Canadian partnership,可信赖的加拿大合作伙伴
Partnerships,business-3-p,"Work with an established support service that vets students and ensures they're prepared, reliable, and eager to contribute.",与一家成熟的支持服务机构合作，审核学生并确保他们准备充分、可靠且渴望贡献。
Partnerships,why-eyebrow,Why Crestway Global,为什么选择 Crestway Global
Partnerships,why-title,The partner your students deserve.,您的学生值得这样的合作伙伴。
Partnerships,why-1-h3,Trusted expertise,值得信赖的专业能力
Partnerships,why-1-p,A highly experienced team bringing deep knowledge and hands-on experience across diverse roles within the international education sector.,经验丰富的团队，在国际教育领域各个角色拥有深厚知识和实战经验。
Partnerships,why-2-h3,Student-centric approach,以学生为中心
Partnerships,why-2-p,"We prioritize student safety, well-being, and success. When students thrive, everyone wins.",我们优先考虑学生的安全、身心健康和成功。学生蓬勃发展，所有人都受益。
Partnerships,why-3-h3,Comprehensive support,全面支持
Partnerships,why-3-p,"Guardianship, academic support, housing, wellness, crisis management, and more—all coordinated through a single trusted partner.",监护、学术支持、住房、健康、危机管理等——通过单一可信赖的合作伙伴协调一切。
Partnerships,why-4-h3,Seamless collaboration,无缝协作
Partnerships,why-4-p,"Transparent processes, clear structured reporting, and partnership-focused solutions. You always know how your referred students are doing.",透明的流程、清晰的结构化报告和以合作为导向的解决方案。您始终了解转介学生的情况。
Partnerships,why-5-h3,Global perspective,全球视野
Partnerships,why-5-p,"We connect institutions, agents, and students worldwide. Our team understands both Canadian systems and the cultures our students come from.",我们连接全球的院校、代理和学生。我们的团队理解加拿大系统，也理解学生来自的文化。
Partnerships,uni-cta-eyebrow,For Universities & Agents,为大学及招生代理机构
Partnerships,uni-cta-title,Want to see the full partnership model?,想了解完整的合作模式吗？
Partnerships,uni-cta-p,"We've put together a detailed overview of how Crestway Global works alongside universities and recruitment agents. If you're exploring structured student support for your institution, this is a good starting point.",我们整理了 Crestway Global 与大学及招生代理机构合作的详细模式。如果您正在为机构寻找结构化的学生支持方案，这将是一个好的起点。
Partnerships,uni-cta-primary,View Partnership Details,查看合作详情
Partnerships,uni-cta-ghost,Contact us directly,直接联系我们
Partnerships,partner-cta-title,Let's build something that works for your students.,让我们共同为学生打造有效的支持。
Partnerships,partner-cta-p,"Whether you're a university, recruitment agent, or business organization, we'd like to show you what on-the-ground support looks like in practice.",无论您是大学、招生代理还是企业机构，我们期待向您展示结构化实地支持的实际效果。
Partnerships,partner-cta-primary,Contact us,联系我们
Partnerships,partner-cta-ghost,Schedule a call,预约通话
Partnerships,footer-description,Educational guardianship and support services for international students in Canada.,加拿大国际学生成功支持。
Ambassadors,title,Student Ambassadors | Crestway Global,学生大使 | Crestway Global
Ambassadors,hero-eyebrow,Student Ambassadors,学生大使
Ambassadors,hero-title,Real students who've been where you're going.,他们走过你即将踏上的路。
Ambassadors,hero-lede,"Our ambassadors are current international students at Canadian universities. They represent Crestway Global on campus, host study groups, and help new students navigate everything from transit to homesickness.",我们的大使是在加拿大大学就读的在校国际学生。他们代表 Crestway Global 参与校园活动，组织学习小组，帮助新生处理从交通到思乡的一切问题。
Ambassadors,program-eyebrow,The Program,项目介绍
Ambassadors,program-title,What Student Ambassadors Do,学生大使做什么
Ambassadors,program-1-h3,Promotion & Awareness,宣传与推广
Ambassadors,program-1-p,Represent Crestway Global at campus events and fairs. Share content on social media. Be the friendly face that shows new students they're not alone.,代表 Crestway Global 参加校园活动和展会。在社交媒体上分享内容。成为友好的面孔，让新生知道他们并不孤单。
Ambassadors,program-2-h3,Student Support,学生支持
Ambassadors,program-2-p,"Help students find safe routes around campus, navigate transit systems, and organize peer-led study sessions in libraries and cafeterias.",帮助学生找到安全的校园路线，掌握公共交通系统，在图书馆和咖啡厅组织同伴学习小组。
Ambassadors,program-3-h3,Community Building,社区建设
Ambassadors,program-3-p,"Gather feedback from peers about housing, campus resources, and student needs. Be the link between newcomers and the support they need.",收集同学对住房、校园资源和学生需求的反馈。成为新生与所需支持之间的桥梁。
Ambassadors,program-4-h3,Leadership,领导力
Ambassadors,program-4-p,"Act as role models, propose new engagement activities, and collaborate with Crestway Global coordinators to improve the student experience.",成为榜样，提出新的活动方案，与 Crestway Global 协调员合作改善学生体验。
Ambassadors,meet-eyebrow,Meet the Team,认识团队
Ambassadors,meet-title,Our Ambassadors,我们的大使
Ambassadors,meet-p,"Students from York, TMU, Waterloo, and Western share their journeys and advice.",来自约克大学、多伦多都会大学、滑铁卢大学和西安大略大学的学生分享他们的经历和建议。
Ambassadors,anna-alt,"Anna, Student Ambassador at University of Waterloo","Anna，滑铁卢大学学生大使"
Ambassadors,anna-name,Anna,Anna
Ambassadors,anna-meta,University of Waterloo · Computer Science · 3rd Year,滑铁卢大学 · 计算机科学 · 大三
Ambassadors,anna-origin,Originally from Japan,来自日本
Ambassadors,anna-journey-h4,Anna's Journey,Anna 的故事
Ambassadors,anna-journey-p,"I was born and raised in Japan until the end of elementary school. After that, I moved to the United States, where I was part of the robotics team for five years. That sparked my interest in programming and Computer Science. I chose the University of Waterloo because of its co-op program.",我在日本出生长大，小学毕业后搬到美国，在那里参加了五年的机器人队，这激发了我对编程和计算机科学的兴趣。我选择滑铁卢大学是因为它的 Co-op 实习项目。
Ambassadors,anna-why-h4,Why I Became an Ambassador,为什么成为大使
Ambassadors,anna-why-p,"I took part in the initial planning of Crestway Global, and I thought it would be a great way to help students like me who are away from home for the first time feel connected to their new community.",我参与了 Crestway Global 的早期规划，我认为这是帮助像我一样第一次离家的学生融入新社区的好方法。
Ambassadors,anna-challenge-h4,Biggest Challenge,最大的挑战
Ambassadors,anna-challenge-p,"Food and diet. The dorm cafeteria was convenient, but it wasn't the same as home-cooked meals. It was also tough to stay healthy with irregular eating times.",饮食问题。宿舍食堂很方便，但和家里做的饭菜不一样。不规律的饮食时间也很难保持健康。
Ambassadors,anna-advice-h4,Advice for New Students,给新生的建议
Ambassadors,anna-advice-p,"""Be open to making friends. You're not the only one feeling alone, and connecting with others makes a big difference. Also, don't forget to take breaks from studying.""","""敞开心扉交朋友。你不是唯一感到孤独的人，与他人建立联系会带来很大的不同。还有，别忘了在学习之余休息一下。"""
Ambassadors,anna-fav-h4,Favourite Canadian Experience,最喜欢的加拿大体验
Ambassadors,anna-fav-p,"Watching baseball games at the Rogers Centre. The stadium is huge, and the fans' energy makes it unforgettable!",在罗杰斯中心看棒球比赛。体育场很大，球迷的热情让人难忘！
Ambassadors,ridhima-alt,"Ridhima, Student Ambassador at York University","Ridhima，约克大学学生大使"
Ambassadors,ridhima-name,Ridhima,Ridhima
Ambassadors,ridhima-meta,York University · Commerce (Finance) · 3rd Year,约克大学 · 商科（金融）· 大三
Ambassadors,ridhima-origin,Originally from India,来自印度
Ambassadors,ridhima-journey-h4,Ridhima's Journey,Ridhima 的故事
Ambassadors,ridhima-journey-p,"I came to Canada to pursue my Bachelor of Commerce degree at York University. My journey has been filled with challenges, from adjusting to a new culture and climate to building a community, but it has also been incredibly rewarding. I've become involved in different student leadership and ambassador roles.",我来加拿大是为了在约克大学攻读商学学士学位。这段旅程充满挑战，从适应新的文化和气候到建立社交圈，但也非常有意义。我参与了多个学生领导和大使角色。
Ambassadors,ridhima-why-h4,Why I Became an Ambassador,为什么成为大使
Ambassadors,ridhima-why-p,"I know how overwhelming it can feel moving to a new country. I wanted to help make that transition smoother for others, and to share the lessons I learned along the way.",我知道搬到一个新国家会有多么不知所措。我想帮助让这个过渡更顺利，分享我一路走来学到的经验。
Ambassadors,ridhima-challenge-h4,Biggest Challenge,最大的挑战
Ambassadors,ridhima-challenge-p,"Adjusting to Canadian winters, figuring out housing and transit, and building a social circle in a completely new environment.",适应加拿大的冬天，弄清楚住房和交通，在一个全新的环境中建立社交圈。
Ambassadors,ridhima-advice-h4,Advice for New Students,给新生的建议
Ambassadors,ridhima-advice-p,"""Take small steps every day to step outside your comfort zone — whether it's joining a club, attending a campus event, or introducing yourself to someone new.""","""每天迈出一小步，走出舒适区——无论是加入一个社团、参加校园活动，还是向新认识的人介绍自己。"""
Ambassadors,ridhima-fav-h4,Favourite Canadian Experience,最喜欢的加拿大体验
Ambassadors,ridhima-fav-p,Visiting Montreal. The architecture is so amazing and the nightlife there is fantastic.,去蒙特利尔。那里的建筑太美了，夜生活也很棒。
Ambassadors,tien-alt,"Tien, Student Ambassador at York University","Tien，约克大学学生大使"
Ambassadors,tien-name,Tien,Tien
Ambassadors,tien-meta,York University · Statistics · 3rd Year,约克大学 · 统计学 · 大三
Ambassadors,tien-origin,Originally from Vietnam,来自越南
Ambassadors,tien-journey-h4,Tien's Journey,Tien 的故事
Ambassadors,tien-journey-p,"I came to Canada to pursue my studies in Statistics at York University. Currently, I hold several roles, including an internship as a Risk Analyst, as well as positions as a Research Assistant, Teaching Assistant, and Recruitment & Campus Ambassador. I also serve on the International Student Advisory Board.",我来加拿大是为了在约克大学学习统计学。目前，我担任多个职位，包括风险分析师实习、研究助理、教学助理和招生大使。我还在国际学生咨询委员会任职。
Ambassadors,tien-why-h4,Why I Became an Ambassador,为什么成为大使
Ambassadors,tien-why-p,"I want to help international students feel welcomed and supported. When I first came to Canada, I found it very difficult to adjust to a completely new culture. I hope to support new students so their transition can be smoother.",我想帮助国际学生感到被欢迎和支持。当我第一次来加拿大时，我发现很难适应一个全新的文化。我希望帮助新生让他们的过渡更顺利。
Ambassadors,tien-challenge-h4,Biggest Challenge,最大的挑战
Ambassadors,tien-challenge-p,"Understanding how finances work in Canada — setting up a bank account, getting a credit card, creating a SIN number, learning about taxes, and understanding what I needed to apply for a job.",了解加拿大的财务运作方式——开银行账户、办信用卡、申请 SIN 号码、了解税务，以及求职需要准备什么。
Ambassadors,tien-advice-h4,Advice for New Students,给新生的建议
